Strategy,Final Return (%),Outperformance vs VOO (%)
AMZN,37.83828843864096,18.25414343440354
Optimized Portfolio,27.403220653533932,7.819075649296515
AAPL,26.539811314670146,6.955666310432729
VOO,19.584145004237417,0.0
MSFT,12.459119413927077,-7.12502559031034
