,Total Return (%),CAGR (%),Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha (%),Beta,R-Squared,Max Drawdown (%),Omega Ratio,Tail Ratio
classic,850.2871287423981,55.943558573113506,33.152689657181675,1.5071348009631869,2.3123021099832473,1.819600970050649,8545.526025809655,0.9649769757178617,0.25784608626027,-30.744959743320155,1.3250161361780652,1.1204836967897966
QAOA,683.529152543299,50.11725652475525,31.988973752006878,1.430826998144617,2.187031429235144,1.7160188269090353,7610.876639920983,0.9357682358539797,0.2604354870380304,-29.205540020227254,1.302715300786313,1.063003756578176
QAOA_shots,272.8409284764338,29.653140312109795,27.22768619967921,1.090489586465052,1.5912619170557991,0.8966907978166939,3796.595146955628,0.879080375880521,0.31724871727124226,-33.06952673576075,1.2051684637406497,1.0621626489112617
SamplerVQE,907.830803845916,57.76331231320142,32.08410973945192,1.5827230390279412,2.4133405136150694,2.219151711996708,8947.053041895675,0.9181744969526353,0.24924969925756574,-26.029456211097983,1.325736125397254,1.1591865695711392
