,AAPL,AMD,AMZN,ARKK,AXP,BA,BAC,BNTX,C,CRM,CSCO,CVX,DIS,GE,GEV,GOOGL,GS,HOOD,INTC,JPM,KO,LMT,MA,META,MRNA,MS,MSFT,NFLX,NOC,NVDA,ORCL,OXY,PFE,PLTR,PYPL,QQQ,REGN,RTX,SPY,TSLA,V,VOO,VTI,WMT,XLB,XLE,XLF,XLI,XLK,XLV,XLY,XOM
1999-11-01,0.582526743137377,10.155,3.4565,,30.8013965193477,28.6617919786097,15.8009470632826,,211.014523714925,,23.8542310664953,17.4246575035927,19.4893405288801,112.046980400887,,,48.5121875862824,,21.5745130230442,25.6419189516062,14.4328930947309,10.384907352669,,,,27.3032393636669,28.3254724808089,,14.6002129812548,0.0448957747463984,10.2786594926337,5.16795955140841,14.2431827186031,,,55.3779035027337,7.65557860934058,8.57050160261751,85.3714575325914,,,,,11.9810596052433,13.2593677605943,13.6902639177375,12.2750553057744,17.0245987893842,31.5354178746661,19.028235194698,20.8777151021658,16.4887608099424
1999-11-02,0.602264508332575,10.28,3.322,,30.4913153463342,27.8590306079339,15.6499282999215,,212.239973365574,,24.057162230892,16.9120554838567,19.9141762897276,111.71788894508,,,48.7709006074258,,22.0003257800779,25.6818118365237,14.127111461368,10.3487949078261,,,,27.1798293141113,28.3837364168418,,14.5842302631582,0.0477614624961685,10.6420971500212,5.08390922024265,14.1026006554065,,,55.4202413494483,7.71731714651268,8.62368096859048,84.7613512969308,,,,,11.9555000114188,13.3807602244865,13.563596042851,12.2604710816488,17.2357758630213,31.3942366919096,18.7852353837689,20.7221876040653,16.3497919897382
1999-11-03,0.611645575440559,10.655,3.2905,,30.3879549553296,27.7755434253836,15.3454549866935,,209.512359627033,,23.402545571548,16.9711285790679,20.392116520681,113.779040694609,,,48.0716762259573,,22.6475611707693,25.2982264046244,13.9142874445474,9.57495680405047,,,,26.8737723912136,28.2120111316923,,14.6508249218941,0.0524229812357946,11.5075205220323,5.09753900367493,14.2653798864762,,,56.5210253640286,7.65557860934058,8.57050160261751,85.3320977089249,,,,,11.8745612976412,13.364206706683,13.4926620329145,12.206995593188,17.1177651454006,31.862363771576,18.8662353207453,20.5518479632885,16.1027363093752
1999-11-04,0.6275558652557,10.315,3.153,,30.2432504079233,27.8590306079339,15.4672443119847,,216.430220558115,,22.91158307704,16.8167762980321,20.1038351115345,114.212055768039,,,49.0366058723838,,23.1615685152093,25.8137652250971,13.8678086362762,9.28605724530757,,,,27.9375670183823,28.1353480579649,,14.6508249218941,0.0557662836105263,11.6842194935798,5.09753900367493,13.7807417212458,,,57.156093064748,7.71731714651268,8.15656491612516,85.9815058305916,,,,,11.9278104514422,13.5352597239857,13.2747932881097,12.3528378344447,17.0680764221919,32.1001426056922,19.0822351526822,20.8036543887846,16.1027363093752
1999-11-05,0.662753629044856,10.625,3.247,,30.966773144955,28.4562850677167,15.8472270068933,,214.967587104115,,24.0375237311116,16.2927407759971,18.4424238325058,115.83153214267,,,51.5258446704115,,23.3944337209777,26.4673948010536,14.2200690779103,8.96620416241364,,,,28.5842356780533,28.0770841219321,,14.5682475450616,0.0539704526206704,11.7846166365046,4.97032769164026,12.8558597265313,,,57.7488229187528,7.90452432374422,8.0315215420806,86.8277710082511,,,,,12.3665834787631,13.5076705276466,12.9505235284001,12.6542451330419,17.1612427782082,32.4493802683004,18.9944852209578,20.9443697442089,15.5777429886038
1999-11-08,0.723242749757137,10.72,3.9,,30.3672828771287,28.3792199761318,16.0761909384408,,213.228239212871,,24.6495903075983,17.0321072579956,17.8279292498514,116.048039679385,,,51.0433798471983,,23.3234382314142,25.8935509949322,14.3864142864597,9.12613070386061,,,,28.1374912986623,27.5803074041783,,14.2672396875754,0.0555179240055463,11.9352123508917,5.16795955140841,12.8558597265313,,,58.8919447800478,7.7800514665424,8.08470090805358,86.9064906555841,,,,,12.460301989453,13.3807602244865,13.4419948829599,12.5861854204554,17.1860871398125,32.7763261652102,19.028235194698,20.8777151021658,16.3917032212283
1999-11-09,0.672584987374023,10.53,3.5405,,30.2019062515215,26.7030542341607,15.5744189182409,,208.761277583087,,24.4859361427623,17.0073346696812,17.926551837191,115.511100988331,,,50.2602485399536,,22.7355955778281,25.4884847788465,14.1124339429665,9.44598378675454,,,,27.2884301577202,27.252189448625,,14.3178516282147,0.0546964268506122,11.7344180650422,5.2247503157096,12.9779441498337,,,58.5109041596161,7.7800514665424,7.88779352593743,86.0897547920321,,,,,12.3538036818509,13.430420777897,13.7257309227058,12.3431150183609,17.1985093206147,32.4196579140359,18.8999852944854,20.6555329620222,16.7093462388379
1999-11-10,0.686243821083248,11.5,3.6,,29.9745133913116,26.9028116379394,15.5890336372759,,207.535827932439,,26.0210122089239,17.4475245081906,18.1162106589979,116.048039679385,,,50.3022020028417,,22.4345747020786,24.7213139150478,14.1589127512377,9.89996880763624,,,,27.1971067210491,26.715547932533,,14.6188594857009,0.0542188122256505,11.822767550816,5.42465380604979,12.9779441498337,,,59.2729854004795,7.53110575213877,7.73400454866423,86.7293424802547,,,,,12.1684966266231,13.4690456527718,14.0297338224335,12.1535201047272,17.1301873262027,32.984382645062,19.0147352052019,20.7369997467415,16.8624394390079
1999-11-11,0.692322752569222,14.125,3.65,,30.1398900169188,26.503296830382,15.3454549866935,,206.073194478439,,27.4120726100299,17.2455326342426,18.4424238325058,116.048039679385,,,51.2601394054535,,22.5595267637105,24.8931601885387,13.8824861546776,10.2198218905302,,,,27.7203653311646,27.4821786698072,,14.0008610526319,0.058039729225344,12.4612933798172,5.39512260861317,13.1188475434604,,,60.3314315683452,7.28216003773513,7.73400454866423,87.2213692449159,,,,,12.2345255773365,13.3917959030222,14.0297338224335,12.0854603921407,17.1985093206147,33.437648547596,19.2374850318869,20.7814361747702,17.0421575435552
1999-11-12,0.680089841060411,13.28,3.747,,31.8970166639957,26.619285000318,16.197980263732,,216.944118798709,,27.3106070278316,17.4132240012938,19.1707137082444,117.243161282053,,,55.7631444221105,,21.6365853993845,26.0838093691542,14.0659551346954,9.80194931449133,,,,29.6184118933287,27.3503181829961,,14.2006450288396,0.0611346719950957,13.0777318373751,5.39512260861317,13.0261479423902,,,61.1358506559231,7.46837143210905,7.76131287173143,88.0085657182455,,,,,12.5412407032307,13.430420777897,14.1260014073472,12.6104924606649,17.3165200382354,33.6234132617493,19.6154847377767,21.2702368830863,17.2773441988887
1999-11-15,0.671234113710474,12.78,3.675,,32.5171790100228,25.8589181085152,16.0152962757951,,220.897182187899,,27.1044027801383,17.4132240012938,19.7980076125046,117.347084899677,,,54.5395017545406,,21.0317038283031,25.3350506060867,14.2494241147131,9.74004226618928,,,,29.8800411983865,26.6787496571438,,14.3524808507574,0.0599501877251907,12.8628819515162,5.49507435378327,12.9779441498337,,,61.0088371157792,8.09073571811814,7.83317687980302,88.2151852700219,,,,,12.554020500143,13.7780446517702,14.2020021322792,12.6007696445811,17.4096863942517,33.4748014904267,19.7032346695011,21.3072672397769,17.3061878452976
1999-11-16,0.684367607661651,12.875,3.947,,32.9719647304427,26.6643915108487,16.4415589143144,,229.27767657298,,27.6575538572839,17.8534138398032,19.9892557540474,120.923789406213,,,57.902771029404,,21.7416587239385,26.3906777146737,14.4940494214035,9.80194931449133,,,,31.407857611884,26.7738118685658,,14.2512569694788,0.0656815632247309,12.9512314372899,5.46554315634665,12.562649937039,,,62.5753374442205,8.96204571853086,8.12063291208937,88.9532014862409,,,,,12.754237318435,13.8277052051807,14.4401377370659,12.9459296155554,17.8196183607236,34.1807074042093,19.9529844751782,21.3961400958344,17.5702181470399
1999-11-17,0.677313045196447,13.345,3.825,,31.9590328985984,27.4247584026515,16.2125949827669,,222.873713882493,,27.7393809397019,18.524179308008,19.8898067204451,122.274796435316,,,55.6302917896315,,21.2276513794985,25.1233114476783,14.6628408830198,9.93092233178727,,,,29.9738328360487,26.0654450673244,,14.7520488031727,0.0681842638595302,14.0174490951505,5.39512260861317,12.5366940487393,,,61.7285805099279,8.71310000412722,8.13213115338083,89.1893604282398,,,,,12.5412407032307,13.7780446517702,14.6934734868389,12.6688293571676,17.9376290783443,33.8537615072995,19.7572346274853,21.2109883123813,17.8054048023735
1999-11-18,0.672584987374023,13.0,3.897,,32.0210491332011,27.7082850402729,15.9227363885738,,222.359815641899,,28.7834945113556,18.2728674304863,20.7542483202183,120.707281869498,,,56.0708031499566,,22.2925837229516,25.5836139659575,14.785153536365,10.6428533872608,,,,30.6353107016664,26.0470459296298,,15.2182114143238,0.0684135188795118,14.8969280671711,5.45191337291437,12.4921982402256,,,63.5914457653715,8.71310000412722,8.42926116714394,89.8191176069035,,,,,12.6477390108329,13.689759223485,14.6934734868389,12.6299380928325,17.9935288919541,35.00550273505,19.8787345329498,21.3072672397769,17.9851229069208
1999-11-19,0.693748674769635,13.565,3.897,,32.041721211402,28.152906358361,15.8618417259282,,223.348081489196,,28.8456830939933,17.8776747070553,20.4635511450734,119.243690921302,,,55.8959970545895,,22.6844788253423,25.4700726781153,14.7998310547664,10.9627064701548,,,,30.6994839274352,26.3720973622341,,15.3993488860854,0.0819204604734282,15.2864689817191,5.3247020608797,12.5144461444825,,,64.1841756193763,8.09073571811814,8.23021290549681,89.7403979595705,,,,,12.3814932418274,13.6290629915388,14.3590702971385,12.4403431791987,17.7823518183171,35.3324486319598,19.7842346064774,21.1073033136476,17.6811552486123
1999-11-22,0.680089841060411,13.47,4.025,,31.9797049767993,26.9865808717821,15.6499282999215,,221.371549794601,,28.6394788462999,17.4824819836243,20.8460474281588,121.408766288455,,,55.7211909592224,,22.8605476394599,25.1233114476783,15.9936025514154,10.3178413836751,,,,30.3119763718309,27.5404426058401,,15.0503928743094,0.0817867283784389,15.5495094961819,5.2247503157096,12.9779441498337,,,63.2104051449399,7.65557860934058,7.86096395635429,89.7206890789071,,,,,12.0875579128455,13.4745634920396,14.1310681223427,12.3965905068217,17.7016076431029,35.5479357003777,19.5749847692885,20.8629029594896,17.6500928601721
1999-11-23,0.696525470633599,13.405,4.0875,,32.1244095242056,26.9028116379394,15.2553308859779,,216.193036754763,,28.9667871759719,17.1947202918056,20.6547992866161,119.191729112491,,,54.3646956591735,,22.4345747020786,24.5310555408258,16.2993841847783,10.446814400971,,,,29.7418219428843,27.4821786698072,,14.8506088981018,0.0759407253689079,14.758380009935,5.16795955140841,13.2337950487875,,,63.4644322252276,7.46837143210905,8.08597503473801,88.9334926055775,,,,,11.9278104514422,13.3531710281474,13.8371986526059,12.1972727771042,17.5276971118724,35.2358509806001,19.250985021383,20.7814361747702,17.3061878452976
