,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JNJ,PG,XOM,JPM,UNH,SH,VOO
1999-11-01,0.582526743137377,28.3254724808089,,3.4565,0.0448957747463984,,,26.8677300637878,27.5919778094479,16.4887608099424,25.5181167164208,5.09247411457986,,
1999-11-02,0.602264508332575,28.3837364168418,,3.322,0.0477614624961685,,,26.2030669033135,27.0810152574211,16.3497919897382,25.5578169937441,5.39691019883909,,
1999-11-03,0.611645575440559,28.2120111316923,,3.2905,0.0524229812357946,,,26.6632183221034,27.2854002782318,16.1027363093752,25.1760835579432,5.16565586560371,,
1999-11-04,0.6275558652557,28.1353480579649,,3.153,0.0557662836105263,,,26.9188579992089,26.9021783642117,16.1027363093752,25.6891332956596,5.07393473765382,,
1999-11-05,0.662753629044856,28.0770841219321,,3.247,0.0539704526206704,,,26.96998593463,27.0554671298198,15.5777429886038,26.3396070702644,5.12857711175163,,
1999-11-08,0.723242749757137,27.5803074041783,,3.9,0.0555179240055463,,,26.688782289814,27.745266575056,16.3917032212283,25.7685338503062,5.36080720166732,,
1999-11-09,0.672584987374023,27.252189448625,,3.5405,0.0546964268506122,,,26.4842705481296,27.4642371714412,16.7093462388379,25.3654233421004,5.20175886277548,,
1999-11-10,0.686243821083248,26.715547932533,,3.6,0.0542188122256505,,,26.3308867418663,27.4386890438399,16.8624394390079,24.6019564704985,5.19004978261166,,
1999-11-11,0.692322752569222,27.4821786698072,,3.65,0.058039729225344,,,26.5353984835507,27.1832077678265,17.0421575435552,24.7729730497374,5.14126194859576,,
1999-11-12,0.680089841060411,27.3503181829961,,3.747,0.0611346719950957,,,26.6069775931402,27.3364965334345,17.2773441988887,25.9578736344635,5.19590432269357,,
1999-11-15,0.671234113710474,26.6787496571438,,3.675,0.0599501877251907,,,26.5300788139693,27.2343040230292,17.3061878452976,25.21272996778,5.32372844781524,,
1999-11-16,0.684367607661651,26.7738118685658,,3.947,0.0656815632247309,,,27.1965349001173,27.4386890438399,17.5702181470399,26.2632603831042,5.37251628183114,,
1999-11-17,0.677313045196447,26.0654450673244,,3.825,0.0681842638595302,,,27.0683702681658,27.8474590854613,17.8054048023735,25.0020131112179,5.50131616363312,,
1999-11-18,0.672584987374023,26.0470459296298,,3.897,0.0684135188795118,,,26.7607751514821,28.0007478510694,17.9851229069208,25.460093234179,5.70817657986054,,
1999-11-19,0.693748674769635,26.3720973622341,,3.897,0.0819204604734282,,,26.9658385626045,28.2306809994814,17.6811552486123,25.347100137182,5.43398895269117,,
1999-11-22,0.680089841060411,27.5404426058401,,4.025,0.0817867283784389,,,26.9914714889949,28.3073253822855,17.6500928601721,25.0020131112179,5.36666174174923,,
1999-11-23,0.696525470633599,27.4821786698072,,4.0875,0.0759407253689079,,,26.6582434459208,28.6139029135016,17.3061878452976,24.4126166863413,5.43398895269117,,
1999-11-24,0.710634595564007,28.1169489202703,,4.3625,0.0735526522440995,,,26.8633068570433,28.7160954239069,17.5546869528198,24.2965697218578,5.16565586560371,,
1999-11-26,0.71341139142797,27.9421571121718,,4.6565,0.0730750376191378,,,26.4531800347984,28.869384189515,17.3061878452976,24.1438763475374,5.05539536072777,,
