,NVDA,MSFT,AAPL,AVGO,ORCL,PLTR,BRK.B,JPM,V,BAC,MA,GS,LLY,JNJ,ABBV,UNH,ABT,AMZN,TSLA,HD,MCD,GE,CAT,RTX,GEV,WMT,COST,PG,KO,GOOGL,META,NFLX,XOM,CVX,COP,LIN,SCCO,NEE,CEG,WELL,PLD,SPY
1999-11-01,0.0448957747463984,28.3254724808089,0.582526743137377,,10.2613821116536,,41.74,25.5181167164208,,15.8009470632826,,48.5121875862824,34.1163942594512,26.8677300637878,,5.09247411457986,9.58997158388719,3.4565,,29.8339839976239,21.9111123071216,112.046980400887,14.138357158706,8.57050160261751,,11.9810596052433,26.284626749912,27.4020734796343,14.4328930947309,,,,16.4887608099424,17.4246575035927,7.81323011197838,,0.775804674289223,2.72571842565939,,,5.80783750003601,85.3714575325914
1999-11-02,0.0477614624961685,28.3837364168418,0.602264508332575,,10.6242088673109,,42.82,25.5578169937441,,15.6499282999215,,48.7709006074258,34.1809052595055,26.2030669033135,,5.39691019883909,9.04040982852179,3.322,,30.1274330205513,21.6798604621915,111.71788894508,14.5084441207589,8.62368096859048,,11.9555000114188,26.9537873087183,26.8946276744559,14.127111461368,,,,16.3497919897382,16.9120554838567,7.80150105111974,,0.76100470819509,2.73934701778769,,,5.9356099250368,84.7613512969308
1999-11-03,0.0524229812357946,28.2120111316923,0.611645575440559,,11.4881775506714,,43.06,25.1760835579432,,15.3454549866935,,48.0716762259573,35.6696206453724,26.6632183221034,,5.16565586560371,8.75730225757598,3.2905,,29.4427186337206,22.0425054008318,113.779040694609,14.6559613014373,8.57050160261751,,11.8745612976412,27.2047225182707,27.0976059965273,13.9142874445474,,,,16.1027363093752,16.9711285790679,7.74955806731718,,0.769598236894909,2.7088189714203,,,5.97045695003702,85.3320977089249
1999-11-04,0.0557662836105263,28.1353480579649,0.6275558652557,,11.664579509223,,43.26,25.6891332956596,,15.4672443119847,,49.0366058723838,37.778634108684,26.9188579992089,,5.07393473765382,9.01186116590541,3.153,,29.7361676566481,23.7506156190651,114.212055768039,14.1202410137104,8.15656491612516,,11.9278104514422,27.2281431378289,26.7170216426435,13.8678086362762,,,,16.1027363093752,16.8167762980321,7.64567209971206,,0.766733727328303,2.6608463271287,,,5.95303343753691,85.9815058305916
1999-11-05,0.0539704526206704,28.0770841219321,0.662753629044856,,11.7648078947637,,42.62,26.3396070702644,,15.8472270068933,,51.5258446704115,38.2103615705854,26.96998593463,,5.12857711175163,9.1450882581152,3.247,,30.5186983844546,24.4391154301068,115.83153214267,14.1694134072698,8.0315215420806,,12.3665834787631,28.6066138889699,26.869255384197,14.2200690779103,,,,15.5777429886038,16.2927407759971,7.56189309357891,,0.775804674289223,2.6712040571462,,,5.97045695003702,86.8277710082511
1999-11-08,0.0555179240055463,27.5803074041783,0.723242749757137,,11.9151504730747,,41.76,25.7685338503062,,16.0761909384408,,51.0433798471983,37.341944262163,26.688782289814,,5.36080720166732,9.24976668770861,3.9,,30.9608282456653,24.7019016175273,116.048039679385,13.9908399780275,8.08470090805358,,12.460301989453,28.941194168373,27.5543072211879,14.3864142864597,,,,16.3917032212283,17.0321072579956,7.89700911811154,,0.778669183855829,2.61996055074381,,,6.0633823500376,86.9064906555841
1999-11-09,0.0546964268506122,27.252189448625,0.672584987374023,,11.7146937019933,,40.28,25.3654233421004,,15.5744189182409,,50.2602485399536,36.7216461847184,26.4842705481296,,5.20175886277548,8.80250430671859,3.5405,,31.3012291122611,24.3760467451259,115.511100988331,13.9442556051817,7.88779352593743,,12.3538036818509,28.5229688191191,27.2752120283397,14.1124339429665,,,,16.7093462388379,17.0073346696812,8.03273110804726,,0.782011111683536,2.57253305013733,,,6.02563140628736,86.0897547920321
1999-11-10,0.0542188122256505,26.715547932533,0.686243821083248,,11.8028946812691,,39.7,24.6019564704985,,15.5890336372759,,50.3022020028417,37.7984836471622,26.3308867418663,,5.19004978261166,8.80250430671859,3.6,,30.2017734396929,24.2078635851768,116.048039679385,13.9106113359042,7.73400454866423,,12.1684966266231,28.5028940023549,27.2498397380808,14.1589127512377,,,,16.8624394390079,17.4475245081906,8.15839961724699,,0.772940164722616,2.54854672799153,,,6.00820789378725,86.7293424802547
1999-11-11,0.058039729225344,27.4821786698072,0.692322752569222,,12.4403472133078,,39.16,24.7729730497374,,15.3454549866935,,51.2601394054535,38.2663605845909,26.5353984835507,,5.14126194859576,8.68355154581698,3.65,,30.8356233292162,24.7019016175273,116.048039679385,14.2341139251113,7.73400454866423,,12.2345255773365,29.9449350065825,26.9961168354916,13.8824861546776,,,,17.0421575435552,17.2455326342426,8.22039608178553,,0.772940164722616,2.56217532011983,,,6.0633823500376,87.2213692449159
1999-11-12,0.0611346719950957,27.3503181829961,0.680089841060411,,13.0557495005275,,39.36,25.9578736344635,,16.197980263732,,55.7631444221105,38.5152312959891,26.6069775931402,,5.19590432269357,8.66927721450879,3.747,,31.4733858723786,25.4271914948079,117.243161282053,14.2341139251113,7.76131287173143,,12.5412407032307,29.7374952333526,27.1483505770451,14.0659551346954,,,,17.2773441988887,17.4132240012938,8.29412160718271,,0.763869217761696,2.54854672799153,,,6.0808058625377,88.0085657182455
1999-11-15,0.0599501877251907,26.6787496571438,0.671234113710474,,12.8412607554704,,38.8,25.21272996778,,16.0152962757951,,54.5395017545406,36.7731363162015,26.5300788139693,,5.32372844781524,8.7144792636514,3.675,,30.812147407382,24.6388329325464,117.347084899677,14.379043085076,7.83317687980302,,12.554020500143,29.1921293779254,27.0468614160094,14.2494241147131,,,,17.3061878452976,17.4132240012938,8.33601111024929,,0.76100470819509,2.53164727375244,,,5.9356099250368,88.2151852700219
1999-11-16,0.0656815632247309,26.7738118685658,0.684367607661651,,12.9294617347462,,38.02,26.2632603831042,,16.4415589143144,,57.902771029404,38.3260895553264,27.1965349001173,,5.37251628183114,9.0261354972136,3.947,,31.4499099505444,24.2761879939061,120.923789406213,14.7025456742831,8.12063291208937,,12.754237318435,29.1285591248388,27.2498397380808,14.4940494214035,,,,17.5702181470399,17.8534138398032,8.52535166411023,,0.757662780367382,2.54200500376995,,,5.97045695003702,88.9532014862409
1999-11-17,0.0681842638595302,26.0654450673244,0.677313045196447,,13.9938871891881,,37.88,25.0020131112179,,16.2125949827669,,55.6302917896315,37.3604711951013,27.0683702681658,,5.50131616363312,8.87625501847758,3.825,,31.2777531904269,24.2446536514157,122.274796435316,14.3324587122302,8.13213115338083,,12.5412407032307,28.7939788454357,27.6557963822235,14.6628408830198,,,,17.8054048023735,18.524179308008,8.60913067024339,,0.746204742100957,2.54200500376995,,,5.91818641253669,89.1893604282398
1999-11-18,0.0684135188795118,26.0470459296298,0.672584987374023,,14.8718878465244,,38.34,25.460093234179,,15.9227363885738,,56.0708031499566,36.6487009605024,26.7607751514821,,5.70817657986054,9.04040982852179,3.897,,32.4750252039709,24.7019016175273,120.707281869498,14.477387872195,8.42926116714394,,12.6477390108329,28.7739040286715,27.8080301237771,14.785153536365,,,,17.9851229069208,18.2728674304863,8.38795409405185,,0.749561704308352,2.50111922738506,,,5.89785898128657,89.8191176069035
1999-11-19,0.0819204604734282,26.3720973622341,0.693748674769635,,15.2607739824222,,37.1,25.347100137182,,15.8618417259282,,55.8959970545895,36.2753948934051,26.9658385626045,,5.43398895269117,8.92145706762019,3.897,,32.1815761810435,24.9016191199669,119.243690921302,12.7304738904768,8.23021290549681,,12.3814932418274,28.5664642554415,28.0363807361074,14.7998310547664,,,,17.6811552486123,17.8776747070553,8.36784713257989,,0.737572553567655,2.47386204312846,,,5.89785898128657,89.7403979595705
1999-11-22,0.0817867283784389,27.5404426058401,0.680089841060411,,15.5233723525387,,38.18,25.0020131112179,,15.6499282999215,,55.7211909592224,37.3604711951013,26.9914714889949,,5.36666174174923,9.24976668770861,4.025,,31.888127158116,24.6546001037916,121.408766288455,13.0048040861244,7.86096395635429,,12.0875579128455,27.7065929373754,28.1124976068841,15.9936025514154,,,,17.6500928601721,17.4824819836243,8.20028912031357,,0.710237289878867,2.43951799096516,,,5.88043546878646,89.7206890789071
1999-11-23,0.0759407253689079,27.4821786698072,0.696525470633599,,14.7335726744783,,37.78,24.4126166863413,,15.2553308859779,,54.3646956591735,36.5839945755389,26.6582434459208,,5.43398895269117,9.04040982852179,4.0875,,31.5712022133544,24.5389741813266,119.191729112491,12.9892759618424,8.08597503473801,,11.9278104514422,28.720371183967,28.4169650899912,16.2993841847783,,,,17.3061878452976,17.1947202918056,8.04278458878323,,0.7073598937011,2.42370882409633,,,5.80783750003601,88.9334926055775
1999-11-24,0.0735526522440995,28.1169489202703,0.710634595564007,,14.3948007313508,,37.9,24.2965697218578,,14.6147190349461,,53.9311765426631,36.6138590609067,26.8633068570433,,5.16565586560371,9.15936258942339,4.3625,,31.1055964303095,23.8504743702849,118.542206502345,12.5674285855164,8.09607168569113,,12.3410238849386,29.151979744397,28.5184542510268,16.6198433365427,,,,17.5546869528198,17.3136617910907,8.03273110804726,,0.695370742960403,2.42370882409633,,,5.84558844378625,89.4058104895752
1999-11-26,0.0730750376191378,27.9421571121718,0.71341139142797,,14.7596320547188,,37.66,24.1438763475374,,14.7365083602374,,54.0570369313274,36.0563886673746,26.4531800347984,,5.05539536072777,9.04040982852179,4.6565,,31.4968617942127,23.4195050229153,117.459668818769,12.4561436948292,7.96914235942339,,12.3985329710438,29.6103547271794,28.6706879925804,16.28226041331,,,,17.3061878452976,17.0738603812418,8.02267762731128,,0.701125535315938,2.39943864014999,,,5.84558844378625,89.0712809572404
1999-11-29,0.0704577094743478,27.6569704779058,0.709658964584776,,14.5451433096618,,37.48,23.496456440419,,13.8693683641639,,52.092216419401,37.5197484503962,26.9402056362142,,4.90903185868007,9.24976668770861,4.522,,31.3012291122611,23.9391647085393,115.294593451616,11.9540676763798,7.83355876091012,,12.5668002970552,30.8851055917054,28.2901036386966,16.4437131157256,,,,17.610155503606,16.989450284975,8.05283806951921,,0.686258988397474,2.3238701128625,,,5.80783750003601,88.7564023679085
