,AAPL,AMD,AMZN,ARKK,AXP,BA,BAC,BNTX,C,CRM,CSCO,CVX,DIS,GE,GEV,GOOGL,GS,HOOD,INTC,JPM,KO,LMT,MA,META,MRNA
1999-11-01,0.582526743137377,10.155,3.4565,,30.8013965193477,28.6617919786097,15.8009470632826,,211.014523714925,,23.8542310664953,17.4246575035927,19.4893405288801,112.046980400887,,,48.5121875862824,,21.5745130230442,25.6419189516062,14.4328930947309,10.384907352669,,,
1999-11-02,0.602264508332575,10.28,3.322,,30.4913153463342,27.8590306079339,15.6499282999215,,212.239973365574,,24.057162230892,16.9120554838567,19.9141762897276,111.71788894508,,,48.7709006074258,,22.0003257800779,25.6818118365237,14.127111461368,10.3487949078261,,,
1999-11-03,0.611645575440559,10.655,3.2905,,30.3879549553296,27.7755434253836,15.3454549866935,,209.512359627033,,23.402545571548,16.9711285790679,20.392116520681,113.779040694609,,,48.0716762259573,,22.6475611707693,25.2982264046244,13.9142874445474,9.57495680405047,,,
1999-11-04,0.6275558652557,10.315,3.153,,30.2432504079233,27.8590306079339,15.4672443119847,,216.430220558115,,22.91158307704,16.8167762980321,20.1038351115345,114.212055768039,,,49.0366058723838,,23.1615685152093,25.8137652250971,13.8678086362762,9.28605724530757,,,
1999-11-05,0.662753629044856,10.625,3.247,,30.966773144955,28.4562850677167,15.8472270068933,,214.967587104115,,24.0375237311116,16.2927407759971,18.4424238325058,115.83153214267,,,51.5258446704115,,23.3944337209777,26.4673948010536,14.2200690779103,8.96620416241364,,,
1999-11-08,0.723242749757137,10.72,3.9,,30.3672828771287,28.3792199761318,16.0761909384408,,213.228239212871,,24.6495903075983,17.0321072579956,17.8279292498514,116.048039679385,,,51.0433798471983,,23.3234382314142,25.8935509949322,14.3864142864597,9.12613070386061,,,
1999-11-09,0.672584987374023,10.53,3.5405,,30.2019062515215,26.7030542341607,15.5744189182409,,208.761277583087,,24.4859361427623,17.0073346696812,17.926551837191,115.511100988331,,,50.2602485399536,,22.7355955778281,25.4884847788465,14.1124339429665,9.44598378675454,,,
1999-11-10,0.686243821083248,11.5,3.6,,29.9745133913116,26.9028116379394,15.5890336372759,,207.535827932439,,26.0210122089239,17.4475245081906,18.1162106589979,116.048039679385,,,50.3022020028417,,22.4345747020786,24.7213139150478,14.1589127512377,9.89996880763624,,,
1999-11-11,0.692322752569222,14.125,3.65,,30.1398900169188,26.503296830382,15.3454549866935,,206.073194478439,,27.4120726100299,17.2455326342426,18.4424238325058,116.048039679385,,,51.2601394054535,,22.5595267637105,24.8931601885387,13.8824861546776,10.2198218905302,,,
1999-11-12,0.680089841060411,13.28,3.747,,31.8970166639957,26.619285000318,16.197980263732,,216.944118798709,,27.3106070278316,17.4132240012938,19.1707137082444,117.243161282053,,,55.7631444221105,,21.6365853993845,26.0838093691542,14.0659551346954,9.80194931449133,,,
1999-11-15,0.671234113710474,12.78,3.675,,32.5171790100228,25.8589181085152,16.0152962757951,,220.897182187899,,27.1044027801383,17.4132240012938,19.7980076125046,117.347084899677,,,54.5395017545406,,21.0317038283031,25.3350506060867,14.2494241147131,9.74004226618928,,,
1999-11-16,0.684367607661651,12.875,3.947,,32.9719647304427,26.6643915108487,16.4415589143144,,229.27767657298,,27.6575538572839,17.8534138398032,19.9892557540474,120.923789406213,,,57.902771029404,,21.7416587239385,26.3906777146737,14.4940494214035,9.80194931449133,,,
1999-11-17,0.677313045196447,13.345,3.825,,31.9590328985984,27.4247584026515,16.2125949827669,,222.873713882493,,27.7393809397019,18.524179308008,19.8898067204451,122.274796435316,,,55.6302917896315,,21.2276513794985,25.1233114476783,14.6628408830198,9.93092233178727,,,
1999-11-18,0.672584987374023,13.0,3.897,,32.0210491332011,27.7082850402729,15.9227363885738,,222.359815641899,,28.7834945113556,18.2728674304863,20.7542483202183,120.707281869498,,,56.0708031499566,,22.2925837229516,25.5836139659575,14.785153536365,10.6428533872608,,,
1999-11-19,0.693748674769635,13.565,3.897,,32.041721211402,28.152906358361,15.8618417259282,,223.348081489196,,28.8456830939933,17.8776747070553,20.4635511450734,119.243690921302,,,55.8959970545895,,22.6844788253423,25.4700726781153,14.7998310547664,10.9627064701548,,,
