AAPL,MSFT,AMZN,Transcations
5,8,39,0
0,28,3,3
32,7,8,3
4,18,17,3
8,17,14,3
4,24,4,3
7,21,7,3
15,5,29,3
30,0,21,3
27,2,20,3
,,,27
