AAPL,MSFT,AMZN,Transcations
51,2,2,0
8,9,47,3
18,16,29,3
18,28,13,2
32,19,24,3
22,35,10,3
56,13,26,3
29,28,35,3
63,29,0,3
5,62,11,3
,,,26
