AAPL,MSFT,AMZN,Transcations
37,11,0,0
2,11,50,2
36,20,1,3
18,7,50,3
12,15,48,3
33,13,36,3
45,19,16,3
9,49,6,3
22,46,4,3
14,35,44,3
,,,26
