AAPL,MSFT,AMZN,Transcations
19,13,15,0
2,10,42,3
25,3,30,3
8,17,22,3
6,15,29,3
14,22,5,3
1,23,19,3
3,8,46,3
13,13,24,3
23,15,8,3
,,,27
