AAPL,MSFT,AMZN,Transcations
0,14,33,0
18,14,11,2
45,4,0,3
20,9,17,3
26,6,16,3
1,24,7,3
23,15,0,3
45,2,0,2
6,26,0,2
6,26,0,0
,,,21
