AAPL,MSFT,AMZN,Transcations
3,5,47,0
30,5,14,2
44,3,2,3
19,8,19,3
19,8,19,0
0,27,1,3
0,27,1,0
33,7,2,3
20,15,2,2
20,15,2,0
,,,16
