AAPL,MSFT,AMZN,Transcations
31,1,25,0
1,26,9,3
0,24,14,3
9,14,23,3
4,2,57,3
10,13,27,3
28,8,16,3
33,6,14,3
14,6,37,2
3,12,38,3
,,,26
