AAPL,MSFT,AMZN,Transcations
24,9,24,0
43,8,2,3
15,1,54,3
31,7,20,3
22,14,13,3
23,8,26,3
12,2,50,3
38,3,20,3
46,4,9,3
7,13,35,3
31,8,15,3
0,7,56,3
,,,33
