AAPL,MSFT,AMZN,Transcations
58,1,0,0
5,27,8,3
22,18,15,3
0,33,9,3
59,10,8,3
31,9,42,3
36,28,1,3
10,32,25,3
13,38,13,3
19,21,49,3
30,37,2,3
38,35,2,2
,,,32
