AAPL,MSFT,AMZN,Transcations
41,5,12,0
3,13,47,3
25,2,53,3
28,9,38,3
11,21,33,3
11,19,43,2
38,17,27,3
51,13,28,3
32,9,63,3
15,29,44,3
41,27,20,3
2,37,51,3
,,,32
