AAPL,MSFT,AMZN,Transcations
4,28,2,0
34,4,25,3
17,19,10,3
3,18,29,3
12,2,57,3
2,28,6,3
30,18,1,3
25,16,11,3
4,9,50,3
14,19,16,3
47,6,3,3
15,19,13,3
,,,33
