AAPL,MSFT,AMZN,Transcations
4,22,17,0
10,17,29,3
0,30,17,3
25,9,47,3
25,30,4,2
23,22,30,3
54,1,52,3
55,13,29,3
10,30,44,3
39,26,24,3
24,28,45,3
5,35,58,3
,,,32
