AAPL,MSFT,AMZN,Transcations
44,7,3,0
44,7,3,0
44,7,3,0
0,23,14,3
61,1,3,3
25,6,25,3
20,15,10,3
1,19,21,3
0,26,6,3
12,7,34,3
25,14,0,3
25,14,0,0
,,,24
