AAPL,MSFT,AMZN,Transcations
44,7,3,0
44,7,3,0
44,7,3,0
5,14,31,3
41,9,6,3
12,0,54,3
32,13,6,3
10,21,11,3
10,21,11,0
2,14,36,3
15,21,2,3
15,21,2,0
,,,21
