Date,AAPL,AMZN,MSFT,NVDA,VOO,XLE,XLF,XLV
2018-01-02,40.479835510253906,59.45050048828125,79.47416687011719,4.929427146911621,219.7638397216797,53.5622444152832,24.34105110168457,74.30670166015625
2018-01-03,40.47278594970703,60.209999084472656,79.8440170288086,5.253852367401123,221.07130432128906,54.364402770996094,24.471818923950195,75.01766967773438
2018-01-04,40.66078186035156,60.47949981689453,80.54676055908203,5.2815470695495605,222.04075622558594,54.69256591796875,24.6984920501709,75.12433624267578
2018-01-05,41.12371826171875,61.457000732421875,81.54540252685547,5.326304912567139,223.4637451171875,54.67070007324219,24.768232345581055,75.76421356201172
2018-01-08,40.97097396850586,62.34349822998047,81.62861633300781,5.489505290985107,223.92628479003906,54.99883270263672,24.733366012573242,75.48873138427734
2018-01-09,40.96625518798828,62.6349983215332,81.57315826416016,5.488022804260254,224.39767456054688,54.860294342041016,24.9251651763916,76.37744140625
2018-01-10,40.95687484741211,62.71649932861328,81.20326232910156,5.531048774719238,224.0151824951172,54.79465866088867,25.134403228759766,76.244140625
2018-01-11,41.189517974853516,63.83399963378906,81.44367980957031,5.540938854217529,225.6695098876953,55.91767120361328,25.25645637512207,76.5729751586914
2018-01-12,41.61484909057617,65.26000213623047,82.84915161132812,5.513738632202148,227.16371154785156,56.45730209350586,25.483125686645508,77.1595230102539
2018-01-16,41.40336227416992,65.24299621582031,81.6933364868164,5.442769527435303,226.33656311035156,55.742652893066406,25.413375854492188,77.54166412353516
2018-01-17,42.087188720703125,64.75,83.34848022460938,5.556764602661133,228.52450561523438,56.23124313354492,25.605182647705078,78.28820037841797
2018-01-18,42.12478256225586,64.66600036621094,83.31148529052734,5.549840927124023,228.2132110595703,55.77182388305664,25.5703067779541,78.30597686767578
2018-01-19,41.936798095703125,64.72899627685547,83.21902465820312,5.690046310424805,229.18270874023438,55.69889831542969,25.753389358520508,78.59925842285156
2018-01-22,41.59371566772461,66.3655014038086,84.70769500732422,5.778570652008057,231.02371215820312,56.90214538574219,25.96262550354004,79.11470794677734
2018-01-23,41.603092193603516,68.12699890136719,84.97586059570312,5.907647609710693,231.54849243164062,56.81462478637695,25.98877716064453,78.73258209228516
2018-01-24,40.94042205810547,67.87550354003906,84.90188598632812,5.830745220184326,231.43287658691406,56.661476135253906,26.163143157958984,78.96363067626953
2018-01-25,40.20960235595703,68.89749908447266,85.37345123291016,5.844346523284912,231.5395965576172,56.21665573120117,26.1108341217041,79.6390609741211
2018-01-26,40.30360412597656,70.10250091552734,86.97313690185547,6.01694393157959,234.23446655273438,56.5229377746582,26.302631378173828,81.35432434082031
2018-01-29,39.46936798095703,70.88400268554688,86.84368133544922,6.103984832763672,232.6157684326172,55.66973876953125,26.19801139831543,81.13214874267578
2018-01-30,39.23673629760742,71.89099884033203,85.75254821777344,6.001859188079834,230.1343536376953,54.54671096801758,25.858003616333008,79.42578887939453
2018-01-31,39.344825744628906,72.54450225830078,87.8515396118164,6.078020095825195,230.34779357910156,54.58317947387695,25.927749633789062,78.29708099365234
2018-02-01,39.42707061767578,69.5,87.1580581665039,5.946964740753174,230.11659240722656,55.14467239379883,26.171857833862305,78.32373046875
2018-02-02,37.71632385253906,71.49749755859375,84.8648910522461,5.77436637878418,225.18923950195312,52.840301513671875,25.596458435058594,77.22171783447266
2018-02-05,36.77399444580078,69.5,81.36968231201172,5.284266471862793,215.93942260742188,50.62342834472656,24.306177139282227,73.80013275146484
2018-02-06,38.31086730957031,72.14199829101562,84.44880676269531,5.578029155731201,219.93280029296875,51.02450942993164,24.750802993774414,74.61775970458984
2018-02-07,37.49073028564453,70.83899688720703,82.8583984375,5.657651901245117,218.73211669921875,50.17131042480469,24.768232345581055,74.52888488769531
2018-02-08,36.4591064453125,67.5250015258789,78.60497283935547,5.378726959228516,210.60296630859375,48.65450668334961,23.678468704223633,71.94267272949219
2018-02-09,36.90507125854492,66.9800033569336,81.5361557006836,5.738758563995361,213.8493194580078,48.6180419921875,24.13180923461914,72.9647216796875
2018-02-12,38.39155578613281,69.3115005493164,82.41456604003906,5.638613224029541,216.7843475341797,49.41291046142578,24.471818923950195,73.64904022216797
2018-02-13,38.776153564453125,70.72550201416016,83.06184387207031,5.752359867095947,217.51364135742188,49.2087287902832,24.576440811157227,73.70235443115234
2018-02-14,39.491085052490234,72.55249786376953,84.3624267578125,5.9697136878967285,220.35972595214844,49.923370361328125,25.160552978515625,74.53777313232422
2018-02-15,40.81712341308594,73.08799743652344,86.08106231689453,6.0953288078308105,223.21473693847656,49.79939651489258,25.300048828125,75.3642807006836
2018-02-16,40.68498611450195,72.43450164794922,85.46794128417969,6.029552936553955,223.18807983398438,49.675437927246094,25.265172958374023,75.90641784667969
2018-02-20,40.548133850097656,73.4175033569336,86.13682556152344,6.159128665924072,221.83615112304688,49.405616760253906,25.186708450317383,75.07101440429688
2018-02-21,40.364097595214844,74.14600372314453,84.9941635131836,5.9719390869140625,220.6710662841797,48.57428741455078,25.22157859802246,74.75995635986328
2018-02-22,40.70150375366211,74.26699829101562,85.21710205078125,5.9914870262146,220.9378662109375,49.10662841796875,25.012346267700195,74.64442443847656
2018-02-23,41.409366607666016,75.0,87.38166046142578,6.085014343261719,224.56666564941406,50.17131042480469,25.38722801208496,75.8353271484375
2018-02-26,42.228111267089844,76.09750366210938,88.64512634277344,6.1010966300964355,227.15481567382812,50.47029495239258,25.770822525024414,76.79513549804688
2018-02-27,42.09126663208008,75.5989990234375,87.51175689697266,6.088230133056641,224.25534057617188,49.813987731933594,25.52671241760254,75.99527740478516
