Date,AAPL,AMZN,MSFT,NVDA,VOO,XLE,XLF,XLV
2018-01-02,40.47983169555664,59.45050048828125,79.47416687011719,4.929429054260254,219.00454711914062,53.14772415161133,24.252954483032227,74.02033233642578
2018-01-03,40.47279357910156,60.209999084472656,79.84403991699219,5.253852844238281,220.30747985839844,53.94369125366211,24.383256912231445,74.72856903076172
2018-01-04,40.6607780456543,60.47949981689453,80.54676818847656,5.281546592712402,221.27357482910156,54.269287109375,24.60910987854004,74.83480072021484
2018-01-05,41.12371826171875,61.457000732421875,81.54540252685547,5.326304912567139,222.69174194335938,54.24759292602539,24.67859649658203,75.47220611572266
2018-01-08,40.97096633911133,62.34349822998047,81.62862396240234,5.489505290985107,223.1526336669922,54.573204040527344,24.643856048583984,75.19775390625
2018-01-09,40.966270446777344,62.6349983215332,81.5731201171875,5.488022327423096,223.62237548828125,54.43571472167969,24.8349552154541,76.08306884765625
2018-01-10,40.956871032714844,62.71649932861328,81.20327758789062,5.531047821044922,223.24127197265625,54.370609283447266,25.043439865112305,75.95028686523438
2018-01-11,41.189510345458984,63.83399963378906,81.44367218017578,5.540937423706055,224.88983154296875,55.48494338989258,25.165050506591797,76.2778549194336
2018-01-12,41.61485290527344,65.26000213623047,82.84916687011719,5.513738632202148,226.37884521484375,56.020408630371094,25.39090347290039,76.86215209960938
2018-01-16,41.403358459472656,65.24299621582031,81.6933364868164,5.442771911621094,225.55455017089844,55.311275482177734,25.321407318115234,77.24282836914062
2018-01-17,42.08720397949219,64.75,83.34846496582031,5.556763648986816,227.73495483398438,55.796077728271484,25.512508392333984,77.98648071289062
2018-01-18,42.12479019165039,64.66600036621094,83.3115005493164,5.549840450286865,227.4247283935547,55.340213775634766,25.477767944335938,78.0041732788086
2018-01-19,41.936805725097656,64.72899627685547,83.21900177001953,5.690046310424805,228.3908233642578,55.267860412597656,25.660184860229492,78.2963638305664
2018-01-22,41.59369659423828,66.3655014038086,84.70771026611328,5.778568744659424,230.22552490234375,56.46177673339844,25.8686580657959,78.80979919433594
2018-01-23,41.603111267089844,68.12699890136719,84.97586822509766,5.907647609710693,230.74847412109375,56.37495803833008,25.894723892211914,78.42911529541016
2018-01-24,40.9404182434082,67.87550354003906,84.90189361572266,5.830746173858643,230.63328552246094,56.222991943359375,26.068458557128906,78.6593017578125
2018-01-25,40.20960235595703,68.89749908447266,85.37346649169922,5.844345569610596,230.73963928222656,55.781585693359375,26.016340255737305,79.33214569091797
2018-01-26,40.303585052490234,70.10250091552734,86.97313690185547,6.016942501068115,233.4252471923828,56.08551788330078,26.20744514465332,81.04078674316406
2018-01-29,39.46936798095703,70.88400268554688,86.84367370605469,6.103983402252197,231.81211853027344,55.238914489746094,26.10320281982422,80.81946563720703
2018-01-30,39.236724853515625,71.89099884033203,85.75257873535156,6.001859188079834,229.33921813964844,54.12458038330078,25.764421463012695,79.11967468261719
2018-01-31,39.34482192993164,72.54450225830078,87.85153198242188,6.0780205726623535,229.5519561767578,54.160762786865234,25.833919525146484,77.9953384399414
2018-02-01,39.42707443237305,69.5,87.1580581665039,5.946964740753174,229.32147216796875,54.717926025390625,26.077144622802734,78.02190399169922
2018-02-02,37.71632385253906,71.49749755859375,84.86489868164062,5.77436637878418,224.4112091064453,52.431373596191406,25.503828048706055,76.9240951538086
2018-02-05,36.77399826049805,69.5,81.36971282958984,5.284266948699951,215.1932830810547,50.231666564941406,24.21820831298828,73.51570129394531
2018-02-06,38.31084442138672,72.14199829101562,84.44880676269531,5.578029632568359,219.17295837402344,50.629642486572266,24.66122817993164,74.33015441894531
2018-02-07,37.49073028564453,70.83899688720703,82.85841369628906,5.657652378082275,217.9764404296875,49.78303146362305,24.67859649658203,74.24166107177734
2018-02-08,36.4591064453125,67.5250015258789,78.60498046875,5.378725528717041,209.8753204345703,48.27796936035156,23.5927791595459,71.66539001464844
2018-02-09,36.90507125854492,66.9800033569336,81.53617095947266,5.738758087158203,213.1104278564453,48.241790771484375,24.044479370117188,72.68350982666016
2018-02-12,38.39155197143555,69.3115005493164,82.41456604003906,5.638613224029541,216.0353546142578,49.0305061340332,24.383256912231445,73.36520385742188
2018-02-13,38.77614974975586,70.72550201416016,83.06182861328125,5.752359867095947,216.76210021972656,48.827911376953125,24.48749542236328,73.41831970214844
2018-02-14,39.491085052490234,72.55249786376953,84.3624267578125,5.969714641571045,219.598388671875,49.53700637817383,25.06949806213379,74.25048828125
2018-02-15,40.8171272277832,73.08799743652344,86.08106231689453,6.095329284667969,222.4435577392578,49.41400909423828,25.20848274230957,75.07384490966797
2018-02-16,40.685001373291016,72.43450164794922,85.46793365478516,6.02955436706543,222.4169464111328,49.29099655151367,25.173742294311523,75.6138687133789
2018-02-20,40.54814147949219,73.4175033569336,86.13683319091797,6.159126281738281,221.06973266601562,49.02326583862305,25.095556259155273,74.78167724609375
2018-02-21,40.364097595214844,74.14600372314453,84.994140625,5.971938610076904,219.90866088867188,48.198368072509766,25.130300521850586,74.47183227539062
2018-02-22,40.70151138305664,74.26699829101562,85.21710968017578,5.991486072540283,220.17453002929688,48.72658920288086,24.92182159423828,74.35674285888672
2018-02-23,41.40936279296875,75.0,87.3816909790039,6.085013389587402,223.79075622558594,49.78303146362305,25.29534912109375,75.54306030273438
2018-02-26,42.22810745239258,76.09750366210938,88.64513397216797,6.101097583770752,226.37002563476562,50.07969665527344,25.677555084228516,76.49918365478516
2018-02-27,42.09125518798828,75.5989990234375,87.51171875,6.088230609893799,223.48057556152344,49.42848205566406,25.434329986572266,75.702392578125
