Date,AAPL,AMZN,MSFT,VOO
2021-10-01,139.80911254882812,164.16299438476562,280.1998291015625,377.4429016113281
2021-10-04,136.36904907226562,159.48899841308594,274.3942565917969,372.7995910644531
2021-10-05,138.2998504638672,161.0500030517578,279.8702697753906,376.42156982421875
2021-10-06,139.172119140625,163.10049438476562,284.0863342285156,378.09539794921875
2021-10-07,140.4364013671875,165.1215057373047,285.7728576660156,381.34857177734375
2021-10-08,140.05419921875,164.43099975585938,285.7728576660156,380.6298828125
2021-10-11,139.96592712402344,162.31500244140625,285.171875,377.8589782714844
2021-10-12,138.69186401367188,162.3665008544922,283.863525390625,377.10247802734375
2021-10-13,138.10379028320312,164.21400451660156,287.1878967285156,378.3128662109375
2021-10-14,140.8970489501953,164.9929962158203,293.42962646484375,384.66790771484375
2021-10-15,141.95555114746094,170.4510040283203,294.8447265625,387.6656799316406
2021-10-18,143.6314697265625,172.33700561523438,297.8299255371094,388.8479309082031
2021-10-19,145.79747009277344,172.20750427246094,298.74090576171875,391.87408447265625
2021-10-20,146.28750610351562,170.7530059814453,297.9462585449219,393.39666748046875
2021-10-21,146.5031280517578,171.75050354003906,301.19305419921875,394.3612976074219
2021-10-22,145.72886657714844,166.77749633789062,299.642333984375,393.9640808105469
2021-10-25,145.67987060546875,166.01849365234375,298.64398193359375,396.0067443847656
2021-10-26,146.34632873535156,168.80349731445312,300.5630187988281,396.3849792480469
2021-10-27,145.8856658935547,169.62449645996094,313.2209777832031,394.663818359375
2021-10-28,149.53158569335938,172.32850646972656,314.3646545410156,398.5222473144531
2021-10-29,146.81675720214844,168.6215057373047,321.4108581542969,399.23150634765625
2021-11-01,145.99349975585938,165.90550231933594,319.2301330566406,400.0732116699219
2021-11-02,147.03237915039062,165.6374969482422,322.8743591308594,401.6241455078125
2021-11-03,148.47312927246094,169.1999969482422,323.71759033203125,404.0450439453125
2021-11-04,147.95367431640625,173.85000610351562,326.0824279785156,405.9365234375
2021-11-05,148.48365783691406,175.94949340820312,325.7141418457031,407.317138671875
2021-11-08,147.65919494628906,174.44900512695312,326.6156005859375,407.80889892578125
2021-11-09,148.02235412597656,178.81149291992188,325.6075134277344,406.3808898925781
2021-11-10,145.1857452392578,174.1024932861328,320.6160888671875,403.1088562011719
2021-11-11,145.13670349121094,173.625,322.1958923339844,403.24127197265625
2021-11-12,147.217529296875,176.25750732421875,326.35382080078125,406.2391052246094
2021-11-15,147.22732543945312,177.28399658203125,325.72381591796875,406.4281921386719
2021-11-16,148.20883178710938,177.03500366210938,329.0579528808594,407.97918701171875
2021-11-17,150.65281677246094,177.4499969482422,329.2812805175781,406.99560546875
2021-11-18,154.95184326171875,184.80299377441406,331.3688049316406,408.4046936035156
2021-11-19,157.5823211669922,183.82850646972656,333.155517578125,407.6386413574219
2021-11-22,158.04367065429688,178.6284942626953,329.9706726074219,406.56060791015625
2021-11-23,158.42642211914062,179.0019989013672,327.883056640625,407.09014892578125
2021-11-24,158.94662475585938,179.02049255371094,328.1064453125,408.0926208496094
2021-11-26,153.9114532470703,175.22799682617188,320.1151428222656,399.2126159667969
2021-11-29,157.27809143066406,178.07850646972656,326.86346435546875,404.03564453125
2021-11-30,162.2445068359375,175.35350036621094,320.9987487792969,396.2999267578125
2021-12-01,161.7242889404297,172.18600463867188,320.5035095214844,391.7416687011719
2021-12-02,160.73301696777344,171.8679962158203,319.9306335449219,397.7184143066406
2021-12-03,158.8485107421875,169.489501953125,313.638671875,394.200439453125
2021-12-06,162.26417541503906,171.36849975585938,316.72637939453125,398.9100036621094
2021-12-07,168.01583862304688,176.1645050048828,325.203125,407.10906982421875
2021-12-08,171.84376525878906,176.1580047607422,325.251708984375,408.25341796875
2021-12-09,171.3333282470703,174.17100524902344,323.43597412109375,405.4730529785156
2021-12-10,176.13299560546875,172.21200561523438,332.60205078125,409.3409423828125
2021-12-13,172.49154663085938,169.5675048828125,329.55316162109375,405.70947265625
2021-12-14,171.1076202392578,169.0915069580078,318.81402587890625,402.9480285644531
2021-12-15,175.98574829101562,173.31500244140625,324.9409484863281,409.2463684082031
2021-12-16,169.0758819580078,168.87100219726562,315.47381591796875,405.5487976074219
2021-12-17,167.97657775878906,170.0175018310547,314.40576171875,401.34039306640625
2021-12-20,166.61227416992188,167.07899475097656,310.62860107421875,396.9996337890625
2021-12-21,169.79238891601562,170.41700744628906,317.7945556640625,404.04522705078125
2021-12-22,172.39337158203125,171.03700256347656,323.5330810546875,408.1265869140625
2021-12-23,173.02157592773438,171.06849670410156,324.97979736328125,410.6418762207031
2021-12-27,176.99673461914062,169.66949462890625,332.51470947265625,416.4981994628906
2021-12-28,175.97592163085938,170.66099548339844,331.3495178222656,416.1849670410156
2021-12-29,176.0643310546875,169.2010040283203,332.0291748046875,416.68798828125
2021-12-30,174.90606689453125,168.64450073242188,329.4754333496094,415.51104736328125
2021-12-31,174.28773498535156,166.7169952392578,326.5625,414.3720703125
2022-01-03,178.64566040039062,170.4044952392578,325.03802490234375,416.91583251953125
2022-01-04,176.3783416748047,167.52200317382812,319.4646301269531,416.7449951171875
2022-01-05,171.68673706054688,164.35699462890625,307.20098876953125,408.7625732421875
2022-01-06,168.8206787109375,163.25399780273438,304.77349853515625,408.2120666503906
2022-01-07,168.98756408691406,162.5540008544922,304.9288635253906,406.7978210449219
2022-01-10,169.00718688964844,161.48599243164062,305.15216064453125,406.26629638671875
2022-01-11,171.84376525878906,165.36199951171875,305.8416748046875,409.8255920410156
2022-01-12,172.28543090820312,165.20700073242188,309.0361633300781,411.050048828125
