Date,HOOD,NVDA,ORCL,PLTR,VOO
2024-01-02,12.369999885559082,48.14657211303711,101.96702575683594,16.579999923706055,425.58294677734375
2024-01-03,11.789999961853027,47.5478401184082,100.39921569824219,16.09000015258789,422.42547607421875
2024-01-04,11.979999542236328,47.97665023803711,100.52659606933594,16.25,421.09185791015625
2024-01-05,11.890000343322754,49.075157165527344,100.66378021240234,15.979999542236328,421.6311950683594
2024-01-08,12.420000076293945,52.22975540161133,102.55496215820312,16.670000076293945,427.6617736816406
2024-01-09,12.199999809265137,53.116363525390625,101.5456771850586,16.389999389648438,426.622314453125
2024-01-10,12.140000343322754,54.32582092285156,102.22441864013672,16.790000915527344,429.4366455078125
2024-01-11,11.710000038146973,54.79761505126953,103.060546875,16.68000030517578,429.28955078125
2024-01-12,11.020000457763672,54.6856575012207,104.8606948852539,16.760000228881836,429.4856262207031
2024-01-16,10.930000305175781,56.3569221496582,104.8311767578125,16.530000686645508,428.02459716796875
2024-01-17,10.649999618530273,56.02806854248047,104.69346618652344,16.389999389648438,425.6417541503906
2024-01-18,10.670000076293945,57.08160400390625,106.92642211914062,16.399999618530273,429.42681884765625
2024-01-19,10.710000038146973,59.46453857421875,107.88060760498047,16.780000686645508,434.6827697753906
2024-01-22,10.989999771118164,59.627464294433594,108.30358123779297,17.600000381469727,435.673095703125
2024-01-23,10.949999809265137,59.846370697021484,110.00536346435547,17.329999923706055,436.9674987792969
2024-01-24,10.8100004196167,61.3347053527832,112.44490051269531,16.75,437.3302917480469
2024-01-25,10.699999809265137,61.58959197998047,113.12364196777344,16.459999084472656,439.7915954589844
2024-01-26,10.789999961853027,61.00385284423828,112.76951599121094,16.350000381469727,439.5268249511719
2024-01-29,11.3100004196167,62.43721389770508,111.89402770996094,17.09000015258789,442.7235107421875
2024-01-30,11.010000228881836,62.74607467651367,112.29736328125,16.739999771118164,442.4097595214844
2024-01-31,10.739999771118164,61.4996337890625,109.87747955322266,16.09000015258789,435.20245361328125
2024-02-01,10.90999984741211,62.998966217041016,113.64500427246094,16.329999923706055,440.9290771484375
2024-02-02,10.920000076293945,66.13057708740234,113.9007568359375,17.020000457763672,445.4593505859375
2024-02-05,10.5600004196167,69.3011703491211,114.49095916748047,16.719999313354492,443.83160400390625
2024-02-06,10.779999732971191,68.19265747070312,113.41874694824219,21.8700008392334,445.2142028808594
2024-02-07,11.0,70.06781768798828,115.35659790039062,23.600000381469727,448.87176513671875
2024-02-08,11.220000267028809,69.61001586914062,114.77622985839844,24.510000228881836,449.17578125
2024-02-09,11.550000190734863,72.1009292602539,114.73688507080078,24.3799991607666,451.72528076171875
2024-02-12,12.010000228881836,72.21586608886719,113.94993591308594,25.049999237060547,451.5193176269531
2024-02-13,11.84000015258789,72.0959243774414,111.82518005371094,24.010000228881836,445.1553955078125
2024-02-14,13.380000114440918,73.86714172363281,112.39571380615234,25.190000534057617,449.3914794921875
2024-02-15,13.420000076293945,72.62567138671875,110.93985748291016,25.40999984741211,452.4313049316406
2024-02-16,14.0,72.58069610595703,109.49385070800781,24.440000534057617,450.11712646484375
2024-02-20,14.09000015258789,69.42111206054688,106.68050384521484,23.399999618530273,447.64605712890625
2024-02-21,13.59000015258789,67.4419937133789,106.39523315429688,22.739999771118164,448.0970764160156
2024-02-22,13.970000267028809,78.5030746459961,109.19873809814453,23.59000015258789,457.5107116699219
2024-02-23,14.479999542236328,78.78193664550781,110.12339782714844,22.969999313354492,457.7165832519531
2024-02-26,15.59000015258789,79.05682373046875,109.1594009399414,23.559999465942383,456.0398254394531
2024-02-27,16.25,78.6659927368164,109.56269836425781,24.530000686645508,456.8831481933594
2024-02-28,16.1299991607666,77.62845611572266,109.8578109741211,24.420000076293945,456.1770935058594
2024-02-29,16.309999465942383,79.07682037353516,109.8578109741211,25.079999923706055,457.8637390136719
2024-03-01,16.579999923706055,82.24240112304688,111.92354583740234,24.93000030517578,462.2763366699219
2024-03-04,16.6299991607666,85.19908142089844,112.19895935058594,24.040000915527344,461.7272033691406
2024-03-05,15.930000305175781,85.92979431152344,109.12989807128906,23.809999465942383,457.098876953125
2024-03-06,16.399999618530273,88.66470336914062,110.43817901611328,26.15999984741211,459.52093505859375
2024-03-07,16.360000610351562,92.63212585449219,112.671142578125,26.459999084472656,464.07080078125
2024-03-08,17.0,87.49317169189453,110.58572387695312,26.040000915527344,461.25653076171875
2024-03-11,16.860000610351562,85.73986053466797,112.26783752441406,25.350000381469727,460.8741455078125
2024-03-12,16.389999389648438,91.87643432617188,125.45903778076172,24.700000762939453,465.8064270019531
2024-03-13,17.15999984741211,90.85183715820312,123.47199249267578,25.0,465.1004333496094
2024-03-14,18.049999237060547,87.90900421142578,123.48182678222656,24.43000030517578,464.0805969238281
2024-03-15,18.149999618530273,87.80204772949219,123.49166870117188,23.489999771118164,460.88397216796875
2024-03-18,18.209999084472656,88.4197998046875,125.71479034423828,24.0,463.766845703125
2024-03-19,17.239999771118164,89.36243438720703,127.08212280273438,23.799999237060547,466.3653869628906
2024-03-20,18.559999465942383,90.33604431152344,127.13130187988281,24.56999969482422,470.434814453125
2024-03-21,19.09000015258789,91.39861297607422,126.90503692626953,24.489999771118164,472.00372314453125
2024-03-22,18.299999237060547,94.2514877319336,125.7049560546875,24.18000030517578,471.38690185546875
2024-03-25,19.079999923706055,94.96418762207031,124.02286529541016,24.510000228881836,470.1671142578125
2024-03-26,19.280000686645508,92.524169921875,124.406494140625,24.889999389648438,468.8489074707031
2024-03-27,20.010000228881836,90.2140884399414,123.22607421875,24.510000228881836,472.9412536621094
