AAPL,MSFT,AMZN,Transcations
61.967329415553166,7.814423117773774,4.981302257219527,0
51.61473397886182,7.074330038489236,23.894347277550306,3
76.30773816889713,7.106702723612342,0.8571950412220902,3
56.82521418038559,6.388766123087679,21.474540947316466,3
83.03947304307546,4.05047981169458,3.5994671188092644,3
67.81782168057967,1.817576240883387,35.841747900154,3
60.74991779299077,8.562283910461929,38.5181127086332,3
69.02868639187051,12.411388691950643,23.640437225855212,3
93.46624447198992,9.931578621332973,5.565927334291861,3
100.64649870037049,10.668179461073374,0.0,3
96.3966656402411,10.692722348768925,8.187163611751874,3
104.58319734884851,10.915496156078365,0.0,3
116.72938311414669,8.697089892640205,4.654300835122011,3
,,,36
