AAPL,MSFT,AMZN,Transcations
15.648315508978072,10.047115437137709,8.183567994003509,0
19.439151783715623,0.9216255365010784,31.10747331679503,3
28.44070160461876,7.709029058646643,10.51441624997092,3
17.873627355522228,11.05226520057497,15.372391780605623,3
52.975953341901835,2.0248834754423966,4.67848372368193,3
13.731095936577903,24.63795080988074,0.0,3
10.181776499722464,16.97943296155176,28.822770198950945,3
22.362414906968695,21.596985974680194,4.482408747208395,3
8.394061285019006,17.445213256743163,34.330897837684546,3
23.6699849365427,26.56383587065018,0.0,3
23.450628825580555,11.036698535066055,35.91478654310404,3
1.850080607310717,41.66679677754305,2.2822576220773088,3
51.29345557509704,15.61729426887554,8.208446047633146,3
,,,36
