AAPL,MSFT,AMZN,Transcations
30.35773208741746,2.4187500126442636,6.048724169480854,0
36.33073663021101,2.2182823942180936,2.9214783429641757,3
37.08517741331647,3.386099826179662,2.144226019868791,3
28.330886077969225,0.9937809340564194,17.661847818268715,3
41.65359004921318,2.004188407208267,5.0165568549351915,3
35.1053545121394,1.3883951334619216,20.444982635701724,3
34.1382991692483,1.1285106242206475,29.317910589750927,3
51.86770129641262,5.064893632706141,3.475422228110748,3
51.45711253203659,5.536271426071785,7.818747029147145,3
50.68171870818606,7.532290227931291,8.464566953491715,3
42.090570398948955,8.559581353547227,18.959404440196057,3
64.55398474519427,2.6950362590094126,8.930885859612006,3
71.58083068621269,4.388488311494554,7.339144855222263,3
,,,36
