AAPL,MSFT,AMZN,Transcations
8.137124064668598,16.745192395229516,3.9138803449582,0
0.3922190982071545,24.638927747659615,0.48210645031435867,3
10.174171273521152,22.611805188984103,0.0,3
2.5546349401815465,26.211098404641305,2.5966191767290203,3
1.655594170490979,27.761490423930372,0.5214861198597123,3
2.984823665105385,30.44962195167261,0.0,3
0.6141087696009366,33.45946411888397,1.9273908957883688,3
0.5760374573667524,33.48226051103317,0.6432948101671105,3
1.614204363418705,34.0976554933374,0.0,3
7.690592181171182,33.21149319687821,0.0,2
0.0,36.19480938541014,1.330248294130151,3
22.527283436217164,26.385101296599586,0.0,3
18.501962909050786,32.09183499294972,0.0,2
,,,34
