AAPL,MSFT,AMZN,Transcations
5.633393583232106,43.909615614157396,0.0,0
0.0,51.24764112733034,0.0,2
23.1185534604607,43.922837867210845,0.0,2
3.9875037482528617,53.76340178217245,0.0,2
0.0,54.73304169202499,0.0,2
0.0,59.291131392481105,0.0,1
1.1257020271606777,62.33070392653488,1.1776783668306328,3
0.0,61.42323467105596,0.0,3
0.0,62.025742929839964,0.0,1
13.462335097200135,58.13651796403911,0.0,2
0.0,63.012051812782104,1.1487340928326621,3
49.58297526231281,38.65661139478855,0.0,3
43.57306372648577,47.30575711069386,0.0,2
,,,26
