PLTR,ORCL,HOOD,Transcations
12,5,6,0
15,12,12,3
15,15,15,2
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
,,,5
