AAPL,MSFT,AMZN,Transcations
55,1,0,0
14,15,21,3
44,2,13,3
14,17,17,3
36,5,16,3
32,6,19,3
34,5,19,2
46,5,5,2
41,2,17,3
26,1,37,3
,,,25
