AAPL,MSFT,AMZN,Transcations
10,26,14,0
2,40,1,3
45,7,23,3
47,20,3,3
7,19,61,3
42,9,42,3
29,33,9,3
26,37,15,3
29,40,13,3
55,29,11,3
38,45,3,3
43,35,33,3
48,27,55,3
45,38,39,3
57,24,63,3
57,33,49,2
39,57,21,3
42,48,47,3
29,52,61,3
45,56,38,3
32,54,63,3
54,52,52,3
44,61,46,3
60,54,51,3
49,58,59,3
63,54,57,3
60,61,50,3
60,60,58,2
63,63,53,3
61,62,62,3
63,63,62,2
,,,87
