PLTR,ORCL,HOOD,Transcations
11,65,96,0
30,86,44,3
9,106,52,3
119,99,62,3
112,105,122,3
126,127,52,3
127,127,127,2
127,127,127,0
127,127,127,0
127,127,127,0
127,127,127,0
127,127,127,0
127,127,127,0
127,127,127,0
127,127,127,0
127,127,127,0
127,127,127,0
,,,17
