AAPL,MSFT,AMZN,Transcations
4,26,6,0
9,24,4,3
4,17,24,3
4,17,24,0
17,7,30,3
32,13,0,3
30,4,23,3
10,26,3,3
21,10,21,3
48,0,9,3
,,,24
