PLTR,ORCL,HOOD,Transcations
45,44,118,0
52,66,7,3
103,51,79,3
74,75,6,3
10,88,80,3
12,92,84,3
29,85,102,3
7,123,45,3
113,70,40,3
51,104,102,3
76,95,91,3
79,127,15,3
,,,33
