AAPL,MSFT,AMZN,Transcations
0,14,33,0
18,14,11,2
45,4,0,3
20,9,17,3
28,4,18,3
9,23,0,3
9,23,0,0
42,3,1,3
16,19,1,2
16,19,1,0
,,,19
