PLTR,ORCL,HOOD,Transcations
11,65,96,0
25,67,119,3
3,94,17,3
12,82,114,3
55,79,124,3
2,104,85,3
118,79,126,3
45,114,51,3
24,127,44,3
72,121,8,3
123,102,23,3
76,127,63,3
127,116,18,3
119,126,27,3
99,124,91,3
117,107,121,3
117,112,119,2
,,,47
